Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),Percentage of hard mode,Percentage of frequency
2022/1/28,223,perky,296968,11148,1,4,17,30,27,17,4,0.037539398,5.09E-05
2022/1/29,224,could,313220,11592,0.99009901,6.930693069,28.71287129,34.65346535,19.8019802,7.920792079,0.99009901,0.037009131,0.07204673
2022/1/30,225,wrung,294687,11524,0,2,18,39,27,12,2,0.039105899,8.12E-05
2022/1/31,226,light,341314,13347,1.01010101,10.1010101,25.25252525,27.27272727,19.19191919,12.12121212,5.050505051,0.039104754,0.010098093
2022/2/1,227,those,351663,13606,1,13,34,30,15,6,1,0.038690451,0.044130764
2022/2/2,228,moist,361908,14205,2.97029703,12.87128713,31.68316832,28.71287129,15.84158416,6.930693069,0.99009901,0.039250307,0.000361856
2022/2/3,229,shard,358176,14609,0.99009901,6.930693069,21.78217822,27.72277228,24.75247525,13.86138614,3.96039604,0.040787211,0.000160813
2022/2/4,230,pleat,359679,14813,1,10,28,31,19,9,2,0.041183945,3.49E-05
2022/2/5,231,aloft,319698,13708,0.99009901,3.96039604,21.78217822,35.64356436,24.75247525,10.89108911,1.98019802,0.042877966,0.000117894
2022/2/6,232,skill,311018,13716,1,3,17,33,27,16,3,0.044100341,0.005946319
2022/2/7,233,elder,288228,13340,1,3,13,24,30,24,5,0.046282804,0.000821061
2022/2/8,234,frame,336236,15369,1.01010101,10.1010101,20.2020202,24.24242424,24.24242424,17.17171717,3.03030303,0.045708966,0.002333349
2022/2/9,235,humor,305372,13846,1,5,22,34,25,11,2,0.04534142,0.001147528
2022/2/10,236,pause,304830,13480,1,8,26,32,21,10,2,0.044221369,0.000929919
2022/2/11,237,ulcer,278826,10631,1,4,18,30,28,16,3,0.038127721,0.000182111
2022/2/12,238,ultra,269885,9310,1,7,23,34,24,10,1,0.034496174,0.000103157
2022/2/13,239,robin,277471,3249,1,6,29,34,21,8,1,0.011709332,0.002067551
2022/2/14,240,cynic,261521,10343,1,6,25,33,22,11,2,0.039549405,7.57E-05
2022/2/15,241,aroma,287836,10343,1,6,25,33,22,11,2,0.035933657,0.000249879
2022/2/16,242,caulk,289721,10740,1,4,20,31,26,15,3,0.037070147,2.57E-05
2022/2/17,243,shake,342003,12767,1,6,16,23,24,21,9,0.037330082,0.005271549
2022/2/18,244,dodge,265238,10220,0.99009901,2.97029703,14.85148515,28.71287129,26.73267327,18.81188119,6.930693069,0.038531432,0.000336255
2022/2/19,245,swill,282327,11241,1,1,8,19,31,30,10,0.039815533,1.42E-05
2022/2/20,246,tacit,273306,11094,0.99009901,3.96039604,20.79207921,31.68316832,25.74257426,13.86138614,2.97029703,0.040591864,9.53E-05
2022/2/21,247,other,278731,10887,1.01010101,9.090909091,26.26262626,30.3030303,21.21212121,10.1010101,2.02020202,0.039059165,0.063399612
2022/2/22,248,thorn,306356,11814,1.01010101,14.14141414,38.38383838,30.3030303,12.12121212,4.04040404,0,0.038562979,0.000213951
2022/2/23,249,trove,277576,11411,0.99009901,4.95049505,15.84158416,23.76237624,24.75247525,21.78217822,7.920792079,0.041109462,6.69E-05
2022/2/24,250,bloke,250674,10405,1.01010101,6.060606061,21.21212121,32.32323232,25.25252525,12.12121212,2.02020202,0.041508094,2.93E-05
2022/2/25,251,vivid,255907,11687,1,2,10,29,33,21,4,0.045668934,0.000468886
2022/2/26,252,spill,248363,10087,1,5,26,34,22,10,2,0.04061394,0.0009595
2022/2/27,253,chant,250413,10438,1,9,33,33,16,7,1,0.041683139,0.000335502
2022/2/28,254,choke,251094,10521,1,8,30,36,18,6,1,0.041900643,0.000548593
2022/3/1,255,rupee,240137,10577,1,2,17,35,30,13,2,0.044045691,1.69E-05
2022/3/2,256,nasty,257304,10813,1.01010101,7.070707071,26.26262626,31.31313131,21.21212121,11.11111111,2.02020202,0.04202422,0.000660893
2022/3/3,257,mourn,240018,10465,1,8,29,34,19,8,1,0.043600897,0.000328188
2022/3/4,258,ahead,203730,9396,0.99009901,4.95049505,19.8019802,34.65346535,25.74257426,11.88118812,1.98019802,0.046119865,0.004683264
2022/3/5,259,brine,229895,10405,0.99009901,8.910891089,24.75247525,28.71287129,21.78217822,11.88118812,2.97029703,0.045259793,7.57E-05
2022/3/6,260,cloth,218595,9911,0.99009901,7.920792079,32.67326733,33.66336634,16.83168317,6.930693069,0.99009901,0.045339555,0.000957241
2022/3/7,261,hoard,218595,9823,0.99009901,8.910891089,29.7029703,33.66336634,18.81188119,6.930693069,0.99009901,0.044936984,8.89E-05
2022/3/8,262,sweet,207473,9767,1,5,18,31,28,15,2,0.047076005,0.002849349
2022/3/9,263,month,201799,9435,1,5,26,37,22,8,1,0.046754444,0.019108143
2022/3/10,264,lapse,208884,9960,0,8,31,34,19,7,1,0.047681967,0.000166729
2022/3/11,265,watch,226349,12400,1,6,14,18,17,24,20,0.054782659,0.014630332
2022/3/12,266,today,192049,9353,1,7,29,35,20,7,1,0.048701113,0.021433532
2022/3/13,267,focus,179436,8937,1.01010101,4.04040404,23.23232323,36.36363636,24.24242424,10.1010101,1.01010101,0.049806059,0.006875915
2022/3/14,268,smelt,185406,9373,0,5,19,33,28,13,2,0.05055392,8.93E-06
2022/3/15,269,tease,202855,10024,0.980392157,15.68627451,31.37254902,29.41176471,15.68627451,5.882352941,0.980392157,0.049414606,0.000504491
2022/3/16,270,cater,217856,11234,0.99009901,6.930693069,18.81188119,21.78217822,18.81188119,17.82178218,14.85148515,0.051566172,0.000323993
2022/3/17,271,movie,169071,8847,1.01010101,5.050505051,18.18181818,30.3030303,26.26262626,16.16161616,3.03030303,0.052327129,0.008052594
2022/3/18,272,saute,179830,9304,1,8,31,34,19,6,1,0.051737752,3.23E-07
2022/3/19,273,allow,156311,8515,0,4.95049505,20.79207921,31.68316832,25.74257426,13.86138614,2.97029703,0.054474733,0.013417834
2022/3/20,274,renew,154987,8417,0,4.04040404,20.2020202,33.33333333,27.27272727,13.13131313,2.02020202,0.054307781,0.000473511
2022/3/21,275,their,173636,9200,2.02020202,14.14141414,36.36363636,30.3030303,13.13131313,4.04040404,0,0.052984404,0.125865002
2022/3/22,276,slosh,160161,8807,0,2.02020202,19.19191919,36.36363636,27.27272727,13.13131313,2.02020202,0.054988418,7.47E-05
2022/3/23,277,purge,156785,8555,0.99009901,3.96039604,21.78217822,34.65346535,25.74257426,10.89108911,1.98019802,0.054565169,0.000129511
2022/3/24,278,chest,169066,9318,0.99009901,13.86138614,34.65346535,30.69306931,13.86138614,4.95049505,0.99009901,0.055114571,0.002634645
2022/3/25,279,depot,150197,8562,0,5.102040816,29.59183673,36.73469388,20.40816327,7.142857143,1.020408163,0.057005133,0.000598935
2022/3/26,280,epoxy,149507,9376,0,2,13,31,33,18,3,0.062712783,6.52E-05
2022/3/27,281,nymph,165468,9935,0.793650794,1.587301587,14.28571429,34.92063492,20.63492063,20.63492063,7.142857143,0.060041821,7.53E-05
2022/3/28,282,found,173696,10613,0.99009901,5.940594059,16.83168317,21.78217822,19.8019802,20.79207921,13.86138614,0.061101004,0.001436884
2022/3/29,283,shall,149070,8494,0,3.03030303,17.17171717,30.3030303,28.28282828,17.17171717,4.04040404,0.056979942,0.001826492
2022/3/30,284,stove,158139,9318,0,5.050505051,16.16161616,24.24242424,27.27272727,21.21212121,6.060606061,0.058922846,0.000701876
2022/3/31,285,lowly,135219,8469,0,1.98019802,8.910891089,25.74257426,31.68316832,23.76237624,7.920792079,0.062631731,9.54E-05
2022/4/1,286,snout,144648,8913,1,4,19,27,26,18,5,0.06161855,8.87E-05
2022/4/2,287,trope,155079,9315,1,16,33,28,15,6,1,0.06006616,8.98E-05
2022/4/3,288,fewer,124532,7931,0,2,10,24,32,26,6,0.063686442,0.002135103
2022/4/4,289,shawl,129651,7943,0,3.03030303,16.16161616,31.31313131,30.3030303,16.16161616,3.03030303,0.061264472,0.000135427
2022/4/5,290,natal,121356,7702,0,2,14,32,32,17,3,0.063466166,2.60E-05
2022/4/6,291,comma,117856,7560,0,1.98019802,12.87128713,32.67326733,32.67326733,16.83168317,2.97029703,0.064146077,4.59E-05
2022/4/7,292,foray,117761,7575,0,1.98019802,13.86138614,30.69306931,30.69306931,18.81188119,3.96039604,0.064325201,0.000167267
2022/4/8,293,scare,141158,9010,1,12,23,26,21,13,4,0.063829184,0.000872908
2022/4/9,294,stair,134210,8537,1.98019802,20.79207921,35.64356436,25.74257426,10.89108911,3.96039604,0.99009901,0.063609269,0.001401494
2022/4/10,295,black,126241,7894,0.99009901,9.900990099,30.69306931,33.66336634,17.82178218,5.940594059,0.99009901,0.06253119,0.017364047
2022/4/11,296,squad,109828,7236,0,3.03030303,20.2020202,33.33333333,27.27272727,14.14141414,2.02020202,0.065884838,0.000635507
2022/4/12,297,royal,114907,7275,1.01010101,5.050505051,24.24242424,36.36363636,23.23232323,9.090909091,1.01010101,0.06331207,0.001368901
2022/4/13,298,chunk,123255,7835,1,4,29,42,18,5,1,0.063567401,0.000676168
2022/4/14,299,mince,113448,7356,0,6,24,35,24,10,1,0.064840279,0.000280966
2022/4/15,300,shame,129991,8522,1,11,22,25,21,15,5,0.065558385,0.000871618
2022/4/16,301,cheek,107987,7035,0,3,19,40,28,9,1,0.065146731,0.001565104
2022/4/17,302,ample,106681,7008,0,4.04040404,20.2020202,35.35353535,27.27272727,11.11111111,2.02020202,0.065691173,0.000383047
2022/4/18,303,flair,112383,7341,1,8,30,36,18,6,1,0.065321267,0.000141666
2022/4/19,304,foyer,108899,8198,0,2.02020202,10.1010101,19.19191919,19.19191919,23.23232323,26.26262626,0.075280765,0.000197924
2022/4/20,305,cargo,102007,6796,0,5,20,34,27,12,2,0.066622879,0.000589038
2022/4/21,306,oxide,97955,6960,0,1.98019802,10.89108911,29.7029703,32.67326733,20.79207921,3.96039604,0.071053035,0.000185016
2022/4/22,307,plant,119232,7731,1.98019802,18.81188119,38.61386139,27.72277228,9.900990099,2.97029703,0,0.064839976,0.007280045
2022/4/23,308,olive,95562,6482,1,6,25,34,23,10,1,0.067830309,0.000531597
2022/4/24,309,inert,97452,6743,0,7,27,34,22,9,1,0.069193039,9.18E-05
2022/4/25,310,askew,91548,6549,0,3,13,29,32,19,4,0.071536243,5.35E-05
2022/4/26,311,heist,103153,6830,1,13,32,31,16,6,1,0.066212325,4.09E-05
2022/4/27,312,shown,98967,6564,0,6.060606061,26.26262626,36.36363636,22.22222222,8.080808081,1.01010101,0.066325139,0.007942875
2022/4/28,313,zesty,88974,6315,0,2,12,27,30,22,7,0.070975791,2.27E-05
2022/4/30,315,larva,77991,5749,0,2.02020202,10.1010101,25.25252525,35.35353535,23.23232323,4.04040404,0.073713634,0.000219222
2022/5/1,316,forgo,77658,5699,0,1.01010101,9.090909091,26.26262626,37.37373737,23.23232323,3.03030303,0.073385871,0.000117463
2022/5/2,317,story,95643,6530,1,10,23,29,24,11,2,0.06827473,0.01923604
2022/5/3,318,hairy,85817,5941,1,8,24,33,23,10,1,0.069228708,0.000185876
2022/5/4,319,train,107750,7243,6.060606061,26.26262626,32.32323232,22.22222222,10.1010101,3.03030303,0,0.067220418,0.002795673
2022/5/5,320,homer,85979,6313,0,3,16,26,24,19,12,0.073424906,6.66E-05
2022/5/6,321,badge,76292,5482,0,4.04040404,20.2020202,35.35353535,26.26262626,12.12121212,2.02020202,0.071855503,0.000336686
2022/5/7,322,midst,74458,5233,0,2.97029703,24.75247525,38.61386139,23.76237624,8.910891089,0.99009901,0.070281232,0.000671112
2022/5/8,323,canny,72518,5256,0,2,10,30,34,20,4,0.072478557,4.38E-05
2022/5/9,324,shine,88932,6146,0.99009901,13.86138614,31.68316832,29.7029703,16.83168317,5.940594059,0.99009901,0.069108982,0.001049857
2022/5/10,325,gecko,74412,5489,0,2.02020202,16.16161616,38.38383838,29.29292929,12.12121212,2.02020202,0.073764984,3.49E-05
2022/5/11,326,farce,79446,5688,0,9.183673469,26.53061224,32.65306122,21.42857143,9.183673469,1.020408163,0.071595801,8.95E-05
2022/5/12,327,slung,75673,5419,0,1.98019802,15.84158416,36.63366337,30.69306931,12.87128713,1.98019802,0.071610746,0.00021664
2022/5/13,328,tipsy,77585,5522,0,6,33,38,17,5,1,0.071173552,3.54E-05
2022/5/14,329,metal,73225,5290,0.980392157,9.803921569,30.39215686,33.33333333,17.64705882,6.862745098,0.980392157,0.072243086,0.002703381
2022/5/15,330,yield,67115,4963,0,4,16,29,29,18,4,0.073947702,0.001455923
2022/5/16,331,delve,68349,5179,0,2.02020202,14.14141414,32.32323232,33.33333333,16.16161616,2.02020202,0.075772872,0.000138224
2022/5/17,332,being,70722,5142,0,4,22,37,26,10,1,0.07270722,0.002506425
2022/5/18,333,scour,73933,5544,0,8,34,35,17,5,1,0.074986812,0.000191255
2022/5/19,334,glass,70920,5162,0,4,19,33,27,14,3,0.072786238,0.006006019
2022/5/20,335,gamer,69884,5238,1,4,17,28,26,18,6,0.074952779,5.57E-05
2022/5/21,336,scrap,66814,4973,0.99009901,8.910891089,27.72277228,33.66336634,19.8019802,7.920792079,0.99009901,0.074430509,0.000470392
2022/5/22,337,money,67909,4928,1,7,26,36,21,8,1,0.072567701,0.019206674
2022/5/23,338,hinge,66431,4906,0,5,25,37,22,9,2,0.073851064,0.000215027
2022/5/24,339,album,63380,4809,0,5,26,35,24,9,1,0.075875671,0.001865862
2022/5/25,340,vouch,62723,4835,0,2.02020202,9.090909091,25.25252525,33.33333333,24.24242424,6.060606061,0.077084961,5.28E-05
2022/5/26,341,asset,63188,4733,0,7.070707071,28.28282828,34.34343434,21.21212121,8.080808081,1.01010101,0.074903463,0.001953529
2022/5/27,342,tiara,63846,4842,0,7.920792079,35.64356436,32.67326733,16.83168317,5.940594059,0.99009901,0.075838737,5.44E-05
2022/5/28,343,crept,60069,4562,0,4.04040404,27.27272727,38.38383838,22.22222222,7.070707071,1.01010101,0.075945995,0.000410799
2022/5/29,344,bayou,56839,4435,0,6,17,33,29,13,2,0.078027411,0.000243425
2022/5/30,345,atoll,60969,4741,0,6,28,36,21,8,1,0.077760829,3.69E-05
2022/5/31,346,manor,62768,4802,0,6,27,34,21,10,2,0.076503951,0.000347657
2022/6/1,347,creak,63241,4797,0,5,21,32,25,14,3,0.075852691,5.79E-05
2022/6/2,348,showy,61278,4770,0,2,16,37,30,13,2,0.077841966,5.31E-05
2022/6/3,349,peach,65431,4957,1,13,38,32,13,3,0,0.075759197,0.000501479
2022/6/4,350,froth,58263,4432,0,5.050505051,22.22222222,35.35353535,25.25252525,11.11111111,1.01010101,0.07606886,4.40E-05
2022/6/5,351,depth,56738,4329,0,6,28,39,20,6,1,0.076298072,0.001514977
2022/6/6,352,gloom,58478,4548,0,2,14,35,35,13,1,0.077772838,0.000199537
2022/6/7,353,flood,58991,4440,0,3,20,40,28,8,1,0.075265718,0.000937664
2022/6/8,354,trait,61026,4607,0,6,22,35,24,11,2,0.075492413,0.000943903
2022/6/9,355,girth,60020,4665,0,6,23,33,23,12,3,0.077724092,5.39E-05
2022/6/10,356,piety,55376,4324,0,4,25,41,22,7,1,0.078084369,0.000127252
2022/6/11,357,goose,51958,4087,0,2,12,28,32,21,5,0.078659687,0.000504813
2022/6/12,358,float,56684,4323,1,12,30,32,18,6,1,0.076264907,0.001160221
2022/6/13,359,donor,53802,4142,0,3.03030303,27.27272727,38.38383838,23.23232323,7.070707071,1.01010101,0.076985986,0.000844296
2022/6/14,360,atone,59968,4762,2,16,34,29,14,4,1,0.079409018,2.72E-05
2022/6/15,361,primo,55989,4391,0,3,22,38,25,10,2,0.078426119,1.51E-05
2022/6/16,362,apron,53430,4112,0,7,30,38,19,5,1,0.076960509,0.00026709
2022/6/17,363,blown,54665,4251,0,5.940594059,22.77227723,34.65346535,25.74257426,9.900990099,0.99009901,0.077764566,5.67E-05
2022/6/18,364,cacao,47205,4101,0,1,9,27,36,23,4,0.08687639,4.50E-05
2022/6/19,365,loser,55359,4399,1,10,28,32,19,8,2,0.079463141,0.000560748
2022/6/20,366,input,50484,3950,0,4.95049505,29.7029703,37.62376238,20.79207921,5.940594059,0.99009901,0.078242612,0.000818157
2022/6/21,367,gloat,53342,4194,0,8,21,31,26,12,2,0.078624723,5.30E-05
2022/6/22,368,awful,47645,3861,0,5,21,33,27,12,2,0.081036835,0.001074167
2022/6/23,369,brink,53111,4118,0,4.04040404,22.22222222,41.41414141,24.24242424,7.070707071,1.01010101,0.077535727,0.000274727
2022/6/24,370,smite,50617,3991,0,5.940594059,22.77227723,34.65346535,23.76237624,10.89108911,1.98019802,0.078847028,8.54E-05
2022/6/25,371,beady,46089,3670,0,2.97029703,18.81188119,38.61386139,28.71287129,9.900990099,0.99009901,0.079628545,2.62E-05
2022/6/26,372,rusty,50450,3954,0,9.090909091,37.37373737,34.34343434,13.13131313,5.050505051,1.01010101,0.078374628,0.000193836
2022/6/27,373,retro,47986,3848,0,6.060606061,24.24242424,35.35353535,24.24242424,9.090909091,1.01010101,0.080190055,9.54E-05
2022/6/28,374,droll,47312,3844,0,2,16,31,31,17,3,0.081247886,2.59E-05
2022/6/29,375,gawky,45645,3957,0,1.01010101,5.050505051,22.22222222,33.33333333,28.28282828,10.1010101,0.086690766,1.61E-05
2022/6/30,376,hutch,44212,3758,0,1.01010101,12.12121212,28.28282828,28.28282828,21.21212121,9.090909091,0.084999548,0.000103695
2022/7/1,377,pinto,47248,3792,0,5,25,41,22,6,1,0.080257365,0.000146184
2022/7/2,378,egret,41765,3515,0,3,14,33,33,15,2,0.084161379,4.58E-05
2022/7/3,379,lilac,40486,3461,0,2.02020202,17.17171717,38.38383838,29.29292929,12.12121212,1.01010101,0.085486341,6.49E-05
2022/7/4,380,sever,42645,3591,0,2.02020202,13.13131313,27.27272727,29.29292929,21.21212121,7.070707071,0.084206824,0.000203517
2022/7/5,381,field,44578,3604,0.99009901,5.940594059,24.75247525,35.64356436,22.77227723,8.910891089,0.99009901,0.080847055,0.010755436
2022/7/6,382,fluff,47344,4049,0,0,4,25,44,23,4,0.085522981,5.42E-05
2022/7/7,383,agape,43407,3671,0,1.98019802,17.82178218,35.64356436,26.73267327,14.85148515,2.97029703,0.084571613,2.61E-05
2022/7/8,384,voice,42806,3484,1,5,24,35,25,9,1,0.081390459,0.010599249
2022/7/9,385,stead,47094,3933,0.99009901,5.940594059,19.8019802,26.73267327,27.72277228,15.84158416,2.97029703,0.083513823,4.70E-05
2022/7/10,386,berth,41785,3494,0,7,24,35,24,9,1,0.083618523,0.000192653
2022/7/11,387,madam,40545,3430,0,2.97029703,12.87128713,34.65346535,33.66336634,13.86138614,1.98019802,0.084597361,0.000138116
2022/7/12,388,night,46910,3870,1,8,27,27,17,13,7,0.082498401,0.021363613
2022/7/13,389,bland,46246,3727,0,7.142857143,31.63265306,38.7755102,18.36734694,4.081632653,0,0.080590754,0.000169956
2022/7/14,390,liver,40549,3388,0,4.04040404,16.16161616,26.26262626,25.25252525,20.2020202,8.080808081,0.083553232,0.000621093
2022/7/15,391,wedge,39234,3353,0,1.98019802,10.89108911,31.68316832,36.63366337,16.83168317,1.98019802,0.085461589,0.000411445
2022/7/16,392,roomy,38769,3280,0,2,17,41,28,10,2,0.084603678,0.000110472
2022/7/17,393,wacky,39611,3345,0,3.03030303,18.18181818,39.39393939,27.27272727,10.1010101,2.02020202,0.08444624,0.000103157
2022/7/18,394,flock,42574,3548,0,4,22,37,27,9,1,0.083337248,0.000368633
2022/7/19,395,angry,39667,3358,0,5.050505051,27.27272727,38.38383838,21.21212121,7.070707071,1.01010101,0.084654751,0.0025018
2022/7/20,396,trite,42237,3685,0,4,14,22,22,23,15,0.08724578,3.46E-05
2022/7/21,397,aphid,39086,3367,0,6,24,36,23,9,2,0.086143376,5.67E-05
2022/7/22,398,tryst,43099,3665,0,3,26,41,23,6,1,0.085036776,3.22E-05
2022/7/23,399,midge,36769,3111,0,2.02020202,18.18181818,39.39393939,28.28282828,10.1010101,2.02020202,0.084609318,3.08E-05
2022/7/24,400,power,39813,3401,2.02020202,6.060606061,19.19191919,29.29292929,24.24242424,15.15151515,4.04040404,0.085424359,0.016716492
2022/7/25,401,elope,39228,3339,0,4.04040404,22.22222222,32.32323232,26.26262626,13.13131313,2.02020202,0.085117773,2.84E-05
2022/7/26,402,cinch,39171,3507,0,1.98019802,14.85148515,23.76237624,21.78217822,24.75247525,12.87128713,0.08953052,4.03E-05
2022/7/27,403,motto,38384,3285,0,1.01010101,11.11111111,36.36363636,36.36363636,14.14141414,1.01010101,0.085582534,0.000201366
2022/7/28,404,stomp,40650,3490,0,7.070707071,26.26262626,32.32323232,21.21212121,11.11111111,2.02020202,0.085854859,0.000230839
2022/7/29,405,upset,37791,3213,0,5,30,38,20,6,1,0.085020243,0.001001344
2022/7/30,406,bluff,37353,3171,0,2,14,42,31,10,1,0.08489278,0.000274727
2022/7/31,407,cramp,39250,3369,1.01010101,8.080808081,26.26262626,33.33333333,19.19191919,10.1010101,2.02020202,0.085834395,0.000125208
2022/8/1,408,quart,36662,3303,0,5,20,33,27,13,2,0.090093285,0.000162642
2022/8/2,409,coyly,34909,3380,0,0,4.04040404,17.17171717,28.28282828,35.35353535,15.15151515,0.096823169,2.62E-05
2022/8/3,410,youth,38381,3327,0.99009901,4.95049505,16.83168317,30.69306931,28.71287129,14.85148515,2.97029703,0.086683515,0.003365565
2022/8/4,411,rhyme,37229,3336,0,4.04040404,22.22222222,39.39393939,25.25252525,8.080808081,1.01010101,0.089607564,0.000166084
2022/8/5,412,buggy,37350,3428,0,1,9,29,34,22,5,0.091780455,0.000104233
2022/8/6,413,alien,38841,3395,1,3,23,39,24,9,1,0.087407636,0.000874414
2022/8/7,414,smear,36223,3190,1,5,23,31,24,14,2,0.088065594,0.00021621
2022/8/8,415,unfit,35516,3187,1,3,13,27,30,22,4,0.089734204,9.62E-05
2022/8/9,416,patty,36223,3019,1,4,16,30,30,17,2,0.083344836,0.000727262
2022/8/10,417,cling,37654,3312,0.99009901,8.910891089,34.65346535,33.66336634,15.84158416,4.95049505,0.99009901,0.087958783,0.000662507
2022/8/11,418,glean,37301,3243,1,4,15,26,29,21,4,0.086941369,0.000150379
2022/8/12,419,label,34198,3076,1.01010101,2.02020202,13.13131313,29.29292929,31.31313131,20.2020202,3.03030303,0.089946781,0.001465712
2022/8/13,420,hunky,35276,3185,1,4,21,30,24,15,5,0.090288015,5.65E-05
2022/8/14,421,khaki,31652,2968,0.99009901,8.910891089,34.65346535,33.66336634,15.84158416,4.95049505,0.99009901,0.093769746,0.000109288
2022/8/15,422,poker,35376,3180,1,9,32,32,18,7,1,0.089891452,0.0002644
2022/8/16,423,gruel,35105,3087,0.99009901,7.920792079,31.68316832,31.68316832,17.82178218,7.920792079,1.98019802,0.087936191,2.13E-05
2022/8/17,424,twice,35815,3173,0.99009901,1.98019802,10.89108911,23.76237624,30.69306931,25.74257426,5.940594059,0.088594164,0.003060396
2022/8/18,425,twang,34938,3172,1.01010101,16.16161616,37.37373737,28.28282828,12.12121212,4.04040404,1.01010101,0.090789398,3.94E-05
2022/8/19,426,shrug,33965,2987,0.99009901,7.920792079,28.71287129,33.66336634,19.8019802,7.920792079,0.99009901,0.087943471,0.001241649
2022/8/20,427,treat,38245,3249,1.01010101,8.080808081,30.3030303,33.33333333,19.19191919,7.070707071,1.01010101,0.084952281,0.004667559
2022/8/21,428,waste,35617,3186,0.99009901,2.97029703,16.83168317,32.67326733,28.71287129,14.85148515,2.97029703,0.089451666,0.002176516
2022/8/22,429,merit,35888,3123,1,5,28,38,20,7,1,0.087020731,0.000654977
2022/8/23,430,woven,33549,2933,1,1,11,29,33,21,4,0.087424364,0.000128113
2022/8/24,431,needy,33700,2927,1.01010101,6.060606061,25.25252525,34.34343434,23.23232323,9.090909091,1.01010101,0.086854599,0.000214059
2022/8/25,432,clown,36737,3175,1,4,22,37,24,10,2,0.08642513,0.000334427
2022/8/26,433,irony,34716,3046,1.01010101,9.090909091,29.29292929,33.33333333,19.19191919,7.070707071,1.01010101,0.087740523,0.000670897
2022/8/27,434,ruder,31241,2784,1,4,17,30,27,17,4,0.089113665,1.34E-05
2022/8/28,435,gauze,30214,2866,0.99009901,6.930693069,28.71287129,34.65346535,19.8019802,7.920792079,0.99009901,0.094856689,8.29E-05
2022/8/29,436,chief,34281,3072,0,2,18,39,27,12,2,0.089612322,0.003145267
2022/8/30,437,onset,33660,3009,1.01010101,10.1010101,25.25252525,27.27272727,19.19191919,12.12121212,5.050505051,0.089393939,0.000330984
2022/8/31,438,prize,35343,3166,1,13,34,30,15,6,1,0.089579266,0.00124649
2022/9/1,439,fungi,31903,2928,2.97029703,12.87128713,31.68316832,28.71287129,15.84158416,6.930693069,0.99009901,0.091778203,0.000287097
2022/9/2,440,charm,35724,3149,0.99009901,6.930693069,21.78217822,27.72277228,24.75247525,13.86138614,3.96039604,0.088148024,0.000607755
2022/9/3,441,gully,31191,2877,1,10,28,31,19,9,2,0.092238146,0.000102081
2022/9/4,442,inter,32018,2889,0.99009901,3.96039604,21.78217822,35.64356436,24.75247525,10.89108911,1.98019802,0.090230495,4.58E-05
