Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X)
2022/4/9,294,stair,134210,8537,1.98019802,20.79207921,35.64356436,25.74257426,10.89108911,3.96039604,0.99009901
2022/4/10,295,black,126241,7894,0.99009901,9.900990099,30.69306931,33.66336634,17.82178218,5.940594059,0.99009901
2022/4/11,296,squad,109828,7236,0,3.03030303,20.2020202,33.33333333,27.27272727,14.14141414,2.02020202
2022/4/12,297,royal,114907,7275,1.01010101,5.050505051,24.24242424,36.36363636,23.23232323,9.090909091,1.01010101
2022/4/13,298,chunk,123255,7835,1,4,29,42,18,5,1
2022/4/14,299,mince,113448,7356,0,6,24,35,24,10,1
2022/4/15,300,shame,129991,8522,1,11,22,25,21,15,5
2022/4/16,301,cheek,107987,7035,0,3,19,40,28,9,1
2022/4/17,302,ample,106681,7008,0,4.04040404,20.2020202,35.35353535,27.27272727,11.11111111,2.02020202
2022/4/18,303,flair,112383,7341,1,8,30,36,18,6,1
2022/4/19,304,foyer,108899,8198,0,2.02020202,10.1010101,19.19191919,19.19191919,23.23232323,26.26262626
2022/4/20,305,cargo,102007,6796,0,5,20,34,27,12,2
2022/4/21,306,oxide,97955,6960,0,1.98019802,10.89108911,29.7029703,32.67326733,20.79207921,3.96039604
2022/4/22,307,plant,119232,7731,1.98019802,18.81188119,38.61386139,27.72277228,9.900990099,2.97029703,0
2022/4/23,308,olive,95562,6482,1,6,25,34,23,10,1
2022/4/24,309,inert,97452,6743,0,7,27,34,22,9,1
2022/4/25,310,askew,91548,6549,0,3,13,29,32,19,4
2022/4/26,311,heist,103153,6830,1,13,32,31,16,6,1
2022/4/27,312,shown,98967,6564,0,6.060606061,26.26262626,36.36363636,22.22222222,8.080808081,1.01010101
2022/4/28,313,zesty,88974,6315,0,2,12,27,30,22,7
2022/4/30,315,larva,77991,5749,0,2.02020202,10.1010101,25.25252525,35.35353535,23.23232323,4.04040404
2022/5/1,316,forgo,77658,5699,0,1.01010101,9.090909091,26.26262626,37.37373737,23.23232323,3.03030303
2022/5/2,317,story,95643,6530,1,10,23,29,24,11,2
2022/5/3,318,hairy,85817,5941,1,8,24,33,23,10,1
2022/5/4,319,train,107750,7243,6.060606061,26.26262626,32.32323232,22.22222222,10.1010101,3.03030303,0
2022/5/5,320,homer,85979,6313,0,3,16,26,24,19,12
2022/5/6,321,badge,76292,5482,0,4.04040404,20.2020202,35.35353535,26.26262626,12.12121212,2.02020202
2022/5/7,322,midst,74458,5233,0,2.97029703,24.75247525,38.61386139,23.76237624,8.910891089,0.99009901
2022/5/8,323,canny,72518,5256,0,2,10,30,34,20,4
2022/5/9,324,shine,88932,6146,0.99009901,13.86138614,31.68316832,29.7029703,16.83168317,5.940594059,0.99009901
2022/5/10,325,gecko,74412,5489,0,2.02020202,16.16161616,38.38383838,29.29292929,12.12121212,2.02020202
2022/5/11,326,farce,79446,5688,0,9.183673469,26.53061224,32.65306122,21.42857143,9.183673469,1.020408163
2022/5/12,327,slung,75673,5419,0,1.98019802,15.84158416,36.63366337,30.69306931,12.87128713,1.98019802
2022/5/13,328,tipsy,77585,5522,0,6,33,38,17,5,1
2022/5/14,329,metal,73225,5290,0.980392157,9.803921569,30.39215686,33.33333333,17.64705882,6.862745098,0.980392157
2022/5/15,330,yield,67115,4963,0,4,16,29,29,18,4
2022/5/16,331,delve,68349,5179,0,2.02020202,14.14141414,32.32323232,33.33333333,16.16161616,2.02020202
2022/5/17,332,being,70722,5142,0,4,22,37,26,10,1
2022/5/18,333,scour,73933,5544,0,8,34,35,17,5,1
2022/5/19,334,glass,70920,5162,0,4,19,33,27,14,3
2022/5/20,335,gamer,69884,5238,1,4,17,28,26,18,6
2022/5/21,336,scrap,66814,4973,0.99009901,8.910891089,27.72277228,33.66336634,19.8019802,7.920792079,0.99009901
2022/5/22,337,money,67909,4928,1,7,26,36,21,8,1
2022/5/23,338,hinge,66431,4906,0,5,25,37,22,9,2
2022/5/24,339,album,63380,4809,0,5,26,35,24,9,1
2022/5/25,340,vouch,62723,4835,0,2.02020202,9.090909091,25.25252525,33.33333333,24.24242424,6.060606061
2022/5/26,341,asset,63188,4733,0,7.070707071,28.28282828,34.34343434,21.21212121,8.080808081,1.01010101
2022/5/27,342,tiara,63846,4842,0,7.920792079,35.64356436,32.67326733,16.83168317,5.940594059,0.99009901
2022/5/28,343,crept,60069,4562,0,4.04040404,27.27272727,38.38383838,22.22222222,7.070707071,1.01010101
2022/5/29,344,bayou,56839,4435,0,6,17,33,29,13,2
2022/5/30,345,atoll,60969,4741,0,6,28,36,21,8,1
2022/5/31,346,manor,62768,4802,0,6,27,34,21,10,2
2022/6/1,347,creak,63241,4797,0,5,21,32,25,14,3
2022/6/2,348,showy,61278,4770,0,2,16,37,30,13,2
2022/6/3,349,peach,65431,4957,1,13,38,32,13,3,0
2022/6/4,350,froth,58263,4432,0,5.050505051,22.22222222,35.35353535,25.25252525,11.11111111,1.01010101
2022/6/5,351,depth,56738,4329,0,6,28,39,20,6,1
2022/6/6,352,gloom,58478,4548,0,2,14,35,35,13,1
2022/6/7,353,flood,58991,4440,0,3,20,40,28,8,1
2022/6/8,354,trait,61026,4607,0,6,22,35,24,11,2
2022/6/9,355,girth,60020,4665,0,6,23,33,23,12,3
2022/6/10,356,piety,55376,4324,0,4,25,41,22,7,1
2022/6/11,357,goose,51958,4087,0,2,12,28,32,21,5
2022/6/12,358,float,56684,4323,1,12,30,32,18,6,1
2022/6/13,359,donor,53802,4142,0,3.03030303,27.27272727,38.38383838,23.23232323,7.070707071,1.01010101
2022/6/14,360,atone,59968,4762,2,16,34,29,14,4,1
2022/6/15,361,primo,55989,4391,0,3,22,38,25,10,2
2022/6/16,362,apron,53430,4112,0,7,30,38,19,5,1
2022/6/17,363,blown,54665,4251,0,5.940594059,22.77227723,34.65346535,25.74257426,9.900990099,0.99009901
2022/6/18,364,cacao,47205,4101,0,1,9,27,36,23,4
2022/6/19,365,loser,55359,4399,1,10,28,32,19,8,2
2022/6/20,366,input,50484,3950,0,4.95049505,29.7029703,37.62376238,20.79207921,5.940594059,0.99009901
2022/6/21,367,gloat,53342,4194,0,8,21,31,26,12,2
2022/6/22,368,awful,47645,3861,0,5,21,33,27,12,2
2022/6/23,369,brink,53111,4118,0,4.04040404,22.22222222,41.41414141,24.24242424,7.070707071,1.01010101
2022/6/24,370,smite,50617,3991,0,5.940594059,22.77227723,34.65346535,23.76237624,10.89108911,1.98019802
2022/6/25,371,beady,46089,3670,0,2.97029703,18.81188119,38.61386139,28.71287129,9.900990099,0.99009901
2022/6/26,372,rusty,50450,3954,0,9.090909091,37.37373737,34.34343434,13.13131313,5.050505051,1.01010101
2022/6/27,373,retro,47986,3848,0,6.060606061,24.24242424,35.35353535,24.24242424,9.090909091,1.01010101
2022/6/28,374,droll,47312,3844,0,2,16,31,31,17,3
2022/6/29,375,gawky,45645,3957,0,1.01010101,5.050505051,22.22222222,33.33333333,28.28282828,10.1010101
2022/6/30,376,hutch,44212,3758,0,1.01010101,12.12121212,28.28282828,28.28282828,21.21212121,9.090909091
2022/7/1,377,pinto,47248,3792,0,5,25,41,22,6,1
2022/7/2,378,egret,41765,3515,0,3,14,33,33,15,2
2022/7/3,379,lilac,40486,3461,0,2.02020202,17.17171717,38.38383838,29.29292929,12.12121212,1.01010101
2022/7/4,380,sever,42645,3591,0,2.02020202,13.13131313,27.27272727,29.29292929,21.21212121,7.070707071
2022/7/5,381,field,44578,3604,0.99009901,5.940594059,24.75247525,35.64356436,22.77227723,8.910891089,0.99009901
2022/7/6,382,fluff,47344,4049,0,0,4,25,44,23,4
2022/7/7,383,agape,43407,3671,0,1.98019802,17.82178218,35.64356436,26.73267327,14.85148515,2.97029703
2022/7/8,384,voice,42806,3484,1,5,24,35,25,9,1
2022/7/9,385,stead,47094,3933,0.99009901,5.940594059,19.8019802,26.73267327,27.72277228,15.84158416,2.97029703
2022/7/10,386,berth,41785,3494,0,7,24,35,24,9,1
2022/7/11,387,madam,40545,3430,0,2.97029703,12.87128713,34.65346535,33.66336634,13.86138614,1.98019802
2022/7/12,388,night,46910,3870,1,8,27,27,17,13,7
2022/7/13,389,bland,46246,3727,0,7.142857143,31.63265306,38.7755102,18.36734694,4.081632653,0
2022/7/14,390,liver,40549,3388,0,4.04040404,16.16161616,26.26262626,25.25252525,20.2020202,8.080808081
2022/7/15,391,wedge,39234,3353,0,1.98019802,10.89108911,31.68316832,36.63366337,16.83168317,1.98019802
2022/7/16,392,roomy,38769,3280,0,2,17,41,28,10,2
2022/7/17,393,wacky,39611,3345,0,3.03030303,18.18181818,39.39393939,27.27272727,10.1010101,2.02020202
2022/7/18,394,flock,42574,3548,0,4,22,37,27,9,1
2022/7/19,395,angry,39667,3358,0,5.050505051,27.27272727,38.38383838,21.21212121,7.070707071,1.01010101
2022/7/20,396,trite,42237,3685,0,4,14,22,22,23,15
2022/7/21,397,aphid,39086,3367,0,6,24,36,23,9,2
2022/7/22,398,tryst,43099,3665,0,3,26,41,23,6,1
2022/7/23,399,midge,36769,3111,0,2.02020202,18.18181818,39.39393939,28.28282828,10.1010101,2.02020202
2022/7/24,400,power,39813,3401,2.02020202,6.060606061,19.19191919,29.29292929,24.24242424,15.15151515,4.04040404
2022/7/25,401,elope,39228,3339,0,4.04040404,22.22222222,32.32323232,26.26262626,13.13131313,2.02020202
2022/7/26,402,cinch,39171,3507,0,1.98019802,14.85148515,23.76237624,21.78217822,24.75247525,12.87128713
2022/7/27,403,motto,38384,3285,0,1.01010101,11.11111111,36.36363636,36.36363636,14.14141414,1.01010101
2022/7/28,404,stomp,40650,3490,0,7.070707071,26.26262626,32.32323232,21.21212121,11.11111111,2.02020202
2022/7/29,405,upset,37791,3213,0,5,30,38,20,6,1
2022/7/30,406,bluff,37353,3171,0,2,14,42,31,10,1
2022/7/31,407,cramp,39250,3369,1.01010101,8.080808081,26.26262626,33.33333333,19.19191919,10.1010101,2.02020202
2022/8/1,408,quart,36662,3303,0,5,20,33,27,13,2
2022/8/2,409,coyly,34909,3380,0,0,4.04040404,17.17171717,28.28282828,35.35353535,15.15151515
2022/8/3,410,youth,38381,3327,0.99009901,4.95049505,16.83168317,30.69306931,28.71287129,14.85148515,2.97029703
2022/8/4,411,rhyme,37229,3336,0,4.04040404,22.22222222,39.39393939,25.25252525,8.080808081,1.01010101
2022/8/5,412,buggy,37350,3428,0,1,9,29,34,22,5
2022/8/6,413,alien,38841,3395,1,3,23,39,24,9,1
2022/8/7,414,smear,36223,3190,1,5,23,31,24,14,2
2022/8/8,415,unfit,35516,3187,1,3,13,27,30,22,4
2022/8/9,416,patty,36223,3019,1,4,16,30,30,17,2
2022/8/10,417,cling,37654,3312,0.99009901,8.910891089,34.65346535,33.66336634,15.84158416,4.95049505,0.99009901
2022/8/11,418,glean,37301,3243,1,4,15,26,29,21,4
2022/8/12,419,label,34198,3076,1.01010101,2.02020202,13.13131313,29.29292929,31.31313131,20.2020202,3.03030303
2022/8/13,420,hunky,35276,3185,1,4,21,30,24,15,5
2022/8/14,421,khaki,31652,2968,0.99009901,8.910891089,34.65346535,33.66336634,15.84158416,4.95049505,0.99009901
2022/8/15,422,poker,35376,3180,1,9,32,32,18,7,1
2022/8/16,423,gruel,35105,3087,0.99009901,7.920792079,31.68316832,31.68316832,17.82178218,7.920792079,1.98019802
2022/8/17,424,twice,35815,3173,0.99009901,1.98019802,10.89108911,23.76237624,30.69306931,25.74257426,5.940594059
2022/8/18,425,twang,34938,3172,1.01010101,16.16161616,37.37373737,28.28282828,12.12121212,4.04040404,1.01010101
2022/8/19,426,shrug,33965,2987,0.99009901,7.920792079,28.71287129,33.66336634,19.8019802,7.920792079,0.99009901
2022/8/20,427,treat,38245,3249,1.01010101,8.080808081,30.3030303,33.33333333,19.19191919,7.070707071,1.01010101
2022/8/21,428,waste,35617,3186,0.99009901,2.97029703,16.83168317,32.67326733,28.71287129,14.85148515,2.97029703
2022/8/22,429,merit,35888,3123,1,5,28,38,20,7,1
2022/8/23,430,woven,33549,2933,1,1,11,29,33,21,4
2022/8/24,431,needy,33700,2927,1.01010101,6.060606061,25.25252525,34.34343434,23.23232323,9.090909091,1.01010101
2022/8/25,432,clown,36737,3175,1,4,22,37,24,10,2
2022/8/26,433,irony,34716,3046,1.01010101,9.090909091,29.29292929,33.33333333,19.19191919,7.070707071,1.01010101
2022/8/27,434,ruder,31241,2784,1,4,17,30,27,17,4
2022/8/28,435,gauze,30214,2866,0.99009901,6.930693069,28.71287129,34.65346535,19.8019802,7.920792079,0.99009901
2022/8/29,436,chief,34281,3072,0,2,18,39,27,12,2
2022/8/30,437,onset,33660,3009,1.01010101,10.1010101,25.25252525,27.27272727,19.19191919,12.12121212,5.050505051
2022/8/31,438,prize,35343,3166,1,13,34,30,15,6,1
2022/9/1,439,fungi,31903,2928,2.97029703,12.87128713,31.68316832,28.71287129,15.84158416,6.930693069,0.99009901
2022/9/2,440,charm,35724,3149,0.99009901,6.930693069,21.78217822,27.72277228,24.75247525,13.86138614,3.96039604
2022/9/3,441,gully,31191,2877,1,10,28,31,19,9,2
2022/9/4,442,inter,32018,2889,0.99009901,3.96039604,21.78217822,35.64356436,24.75247525,10.89108911,1.98019802
2022/9/5,443,whoop,32733,2970,1,3,17,33,27,16,3
2022/9/6,444,taunt,32734,3022,1,3,13,24,30,24,5
2022/9/7,445,leery,30992,2873,1.01010101,10.1010101,20.2020202,24.24242424,24.24242424,17.17171717,3.03030303
2022/9/8,446,class,31962,3001,1,5,22,34,25,11,2
2022/9/9,447,theme,32172,2909,1,8,26,32,21,10,2
2022/9/10,448,lofty,29237,2777,1,4,18,30,28,16,3
2022/9/11,449,tibia,27887,2675,1,7,23,34,24,10,1
2022/9/12,450,booze,29147,2883,1,6,29,34,21,8,1
2022/9/13,451,alpha,29497,2706,1,6,25,33,22,11,2
2022/9/14,452,thyme,32142,2938,1,6,25,33,22,11,2
2022/9/15,453,doubt,33344,3011,1,4,20,31,26,15,3
2022/9/16,454,parer,37309,4130,1,6,16,23,24,21,9
2022/9/17,455,chute,33418,3073,0.99009901,2.97029703,14.85148515,28.71287129,26.73267327,18.81188119,6.930693069
2022/9/18,456,stick,33102,3038,1,1,8,19,31,30,10
2022/9/19,457,trice,35050,3430,0.99009901,3.96039604,20.79207921,31.68316832,25.74257426,13.86138614,2.97029703
2022/9/20,458,alike,31277,2843,1.01010101,9.090909091,26.26262626,30.3030303,21.21212121,10.1010101,2.02020202
2022/9/21,459,recap,31976,2900,1.01010101,14.14141414,38.38383838,30.3030303,12.12121212,4.04040404,0
2022/9/22,460,saint,34455,3119,0.99009901,4.95049505,15.84158416,23.76237624,24.75247525,21.78217822,7.920792079
2022/9/23,461,glory,31509,2893,1.01010101,6.060606061,21.21212121,32.32323232,25.25252525,12.12121212,2.02020202
2022/9/24,462,grate,32777,3077,1,2,10,29,33,21,4
2022/9/25,463,admit,28994,2677,1,5,26,34,22,10,2
2022/9/26,464,brisk,31706,2884,1,9,33,33,16,7,1
2022/9/27,465,soggy,30985,2888,1,8,30,36,18,6,1
2022/9/28,466,usurp,31355,3007,1,2,17,35,30,13,2
2022/9/29,467,scald,30477,2829,1.01010101,7.070707071,26.26262626,31.31313131,21.21212121,11.11111111,2.02020202
2022/9/30,468,scorn,31223,2859,1,8,29,34,19,8,1
2022/10/1,469,leave,28202,2696,0.99009901,4.95049505,19.8019802,34.65346535,25.74257426,11.88118812,1.98019802
2022/10/2,470,twine,30088,2775,0.99009901,8.910891089,24.75247525,28.71287129,21.78217822,11.88118812,2.97029703
2022/10/3,471,sting,32288,2969,0.99009901,7.920792079,32.67326733,33.66336634,16.83168317,6.930693069,0.99009901
2022/10/4,472,bough,32014,3060,0.99009901,8.910891089,29.7029703,33.66336634,18.81188119,6.930693069,0.99009901
2022/10/5,473,marxh,30935,2885,1,5,18,31,28,15,2
2022/10/6,474,sloth,32522,2987,1,5,26,37,22,8,1
2022/10/7,475,dandy,29026,2840,0,8,31,34,19,7,1
2022/10/8,476,vigor,26905,2642,1,6,14,18,17,24,20
2022/10/9,477,howdy,28408,2668,1,7,29,35,20,7,1
2022/10/10,478,enjoy,26878,2654,1.01010101,4.04040404,23.23232323,36.36363636,24.24242424,10.1010101,1.01010101
2022/10/11,479,valid,28575,2752,0,5,19,33,28,13,2
2022/10/12,480,ionic,29151,2947,0.980392157,15.68627451,31.37254902,29.41176471,15.68627451,5.882352941,0.980392157
2022/10/13,481,equal,27197,2677,0.99009901,6.930693069,18.81188119,21.78217822,18.81188119,17.82178218,14.85148515
2022/10/14,482,floor,28906,2752,1.01010101,5.050505051,18.18181818,30.3030303,26.26262626,16.16161616,3.03030303
2022/10/15,483,catch,30403,3123,1,8,31,34,19,6,1
2022/10/16,484,spade,30459,2854,0,4.95049505,20.79207921,31.68316832,25.74257426,13.86138614,2.97029703
2022/10/17,485,stein,31269,2965,0,4.04040404,20.2020202,33.33333333,27.27272727,13.13131313,2.02020202
2022/10/18,486,exist,28612,2805,2.02020202,14.14141414,36.36363636,30.3030303,13.13131313,4.04040404,0
2022/10/19,487,quirk,28322,2794,0,2.02020202,19.19191919,36.36363636,27.27272727,13.13131313,2.02020202
2022/10/20,488,denim,28741,2769,0.99009901,3.96039604,21.78217822,34.65346535,25.74257426,10.89108911,1.98019802
2022/10/21,489,grove,28637,2794,0.99009901,13.86138614,34.65346535,30.69306931,13.86138614,4.95049505,0.99009901
2022/10/22,490,spiel,29084,2810,0,5.102040816,29.59183673,36.73469388,20.40816327,7.142857143,1.020408163
2022/10/23,491,mummy,29279,3021,0,2,13,31,33,18,3
2022/10/24,492,fault,28947,2768,0.793650794,1.587301587,14.28571429,34.92063492,20.63492063,20.63492063,7.142857143
2022/10/25,493,foggy,28953,2817,0.99009901,5.940594059,16.83168317,21.78217822,19.8019802,20.79207921,13.86138614
2022/10/26,494,flout,30063,2904,0,3.03030303,17.17171717,30.3030303,28.28282828,17.17171717,4.04040404
2022/10/27,495,carry,27609,2615,0,5.050505051,16.16161616,24.24242424,27.27272727,21.21212121,6.060606061
2022/10/28,496,sneak,27905,2636,0,1.98019802,8.910891089,25.74257426,31.68316832,23.76237624,7.920792079
2022/10/29,497,libel,25156,2536,1,4,19,27,26,18,5
2022/10/30,498,waltz,24672,2496,1,16,33,28,15,6,1
2022/10/31,499,aptly,26498,2572,0,2,10,24,32,26,6
2022/11/1,500,piney,27502,3667,0,3.03030303,16.16161616,31.31313131,30.3030303,16.16161616,3.03030303
2022/11/2,501,inept,27670,2640,0,2,14,32,32,17,3
2022/11/3,502,aloud,29554,2819,0,1.98019802,12.87128713,32.67326733,32.67326733,16.83168317,2.97029703
2022/11/4,503,photo,27330,2565,0,1.98019802,13.86138614,30.69306931,30.69306931,18.81188119,3.96039604
2022/11/5,504,dream,29743,2751,1,12,23,26,21,13,4
2022/11/6,505,stale,31068,3013,1.98019802,20.79207921,35.64356436,25.74257426,10.89108911,3.96039604,0.99009901
2022/11/7,506,begin,26096,2439,0.99009901,9.900990099,30.69306931,33.66336634,17.82178218,5.940594059,0.99009901
